2021-02-10 00:33:19,089 Extension .CR2 of IMG_8718.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8723.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8724.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8725.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8726.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8727.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8801.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8802.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8803.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8804.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8805.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8806.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8807.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8808.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8809.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8810.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8811.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8812.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8813.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8814.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8815.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8816.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8817.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8818.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8819.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8820.CR2 not recognized!, skipping...
